post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url,scraped_at
Cara Mudah dan Efektif Meningkatkan Rank di Dota!,Cara Mudah dan Efektif Meningkatkan Rank di Dota!,Esports,LORD,2023-12-01 14:00:09,2023/11/meningkatkan-rank-dota-2-featured-640x360.jpg,2023/11/meningkatkan-rank-dota-2-featured-320x180.jpg,Dota 2,esports/dota-2/cara-mudah-meningkatkan-rank-dota,2023-12-08 16:34:50
"Manajer Tim TheOhioBrothers Sebut Server PH MLBB ""Mudah""","Manajer Tim TheOhioBrothers Sebut Server PH MLBB ""Mudah""",Esports,Mallasak,2023-12-01 13:40:38,2023/12/Credit-9-640x360.jpg,2023/12/Credit-9-320x180.jpg,Mobile Legends,esports/mobile-legends/manajer-tim-theohiobrothers-sebut-server-ph-mlbb-mudah,2023-12-08 16:34:50
Inilah NPC Genshin Impact yang Menjadi Favorit Pemain,,Geek,Dwi Ayu,2023-12-01 13:20:32,2023/11/D-28-640x360.jpg,2023/11/D-28-320x180.jpg,Game,geek/game/inilah-npc-genshin-impact-yang-menjadi-favorit-pemain,2023-12-08 16:34:50
Streamer Ladies Valorant yang Wajib Kamu Follow di 2023,Streamer Ladies Valorant yang Wajib Kamu Follow di 2023,Esports,LORD,2023-12-01 13:00:27,2023/11/streamer-wanita-valorant-featured-640x360.jpg,2023/11/streamer-wanita-valorant-featured-320x180.jpg,Valorant,esports/valorant/streamer-wanita-valorant,2023-12-08 16:34:50
"Guide Ekonomi Valorant, Kapan dan Apa yang Harus Dibeli?","Guide Ekonomi Valorant, Kapan dan Apa yang Harus Dibeli?",Esports,LORD,2023-12-01 12:40:20,2023/11/Guide-ekonomi-yang-jelas-featured-640x360.jpg,2023/11/Guide-ekonomi-yang-jelas-featured-320x180.jpg,Valorant,esports/valorant/guide-ekonomi-valorant,2023-12-08 16:34:50
Silvanna Bisa Dipakai Untuk Counter EXP Laner Ini,Silvanna Bisa Dipakai Untuk Counter EXP Laner Ini,Esports,Elang,2023-12-01 12:20:10,2023/11/E-121-640x360.jpg,2023/11/E-121-320x180.jpg,Mobile Legends,esports/mobile-legends/silvanna-counter-exp-laner,2023-12-08 16:34:50
Game Harry Potter HP yang Bisa Dimainkan Potterhead Sejati,Game Harry Potter HP yang Bisa Dimainkan Potterhead Sejati,Geek,Dwi Ayu,2023-12-01 12:00:41,2023/11/D-34-640x360.jpg,2023/11/D-34-320x180.jpg,Game,geek/game/game-harry-potter-hp,2023-12-08 16:34:50
Yamaha Hadirkan Audio Mixer dan Headset untuk Kebutuhan Streaming,Yamaha Hadirkan Audio Mixer dan Headset untuk Kebutuhan Streaming,Tekno,Jefri Sibarani,2023-12-01 11:58:39,2023/12/yamaha-zg01-640x360.jpg,2023/12/yamaha-zg01-320x180.jpg,Gadget,tekno/gadget/yamaha-audio-mixer-headset-streaming,2023-12-08 16:34:50
"Somnus Istirahat Dari Scene Dota 2, Tolak Bujukan CEO Azure Ray untuk Tinggal","Somnus Istirahat, Tolak Bujukan CEO Azure Ray untuk Tinggal",Esports,Mallasak,2023-12-01 11:40:41,2023/11/Credit-5-6-640x360.jpg,2023/11/Credit-5-6-320x180.jpg,Dota 2,esports/dota-2/somnus-istirahat,2023-12-08 16:34:50
Hero Fighter yang Punya Damage Sakit Sejak Level 1,Hero Fighter yang Punya Damage Sakit Sejak Level 1,Esports,Elang,2023-12-01 11:20:01,2023/11/D-39-640x360.jpg,2023/11/D-39-320x180.jpg,Mobile Legends,esports/mobile-legends/hero-fighter-level-1-damage,2023-12-08 16:34:50
